"","x"
"1",59
"2",34
"3",24
"4",37
"5",64
"6",52
"7",71
"8",62
"9",47
"10",44
"11",63
"12",50
"13",59
"14",61
"15",31
"16",59
"17",40
"18",53
"19",27
"20",35
"21",38
"22",40
"23",66
"24",75
"25",17
"26",44
